,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,Age,Annee_travail,Percent_credit_revenu,Percent_loyer_revenu,Duree
0,100002,1,Cash loans,M,N,Y,202500.0,406597.5,24700.5,351000.0,Working,Secondary / secondary special,Single / not married,1,1,0,1,1,0,1.0,0.08303696739132256,0.2629485927471776,0.13937578009978951,-1134.0,1,25.920547945205477,1.0,2.007888888888889,0.12197777777777777,0.060749266781030375
1,100003,0,Cash loans,F,N,N,270000.0,1293502.5,35698.5,1129500.0,State servant,Higher education,Married,1,1,0,1,1,0,2.0,0.3112673113812225,0.6222457752555098,,-828.0,1,45.93150684931507,3.0,4.79075,0.13221666666666668,0.027598323157473605
2,100004,0,Revolving loans,M,Y,Y,67500.0,135000.0,6750.0,135000.0,Working,Secondary / secondary special,Single / not married,1,1,1,1,1,0,1.0,,0.5559120833904428,0.7295666907060153,-815.0,0,52.18082191780822,0.0,2.0,0.1,0.05
3,100006,0,Cash loans,F,N,Y,135000.0,312682.5,29686.5,297000.0,Working,Secondary / secondary special,Civil marriage,1,1,0,1,0,0,2.0,,0.6504416904014653,,-617.0,1,52.06849315068493,8.0,2.3161666666666667,0.2199,0.09494135424911852
4,100007,0,Cash loans,M,N,Y,121500.0,513000.0,21865.5,513000.0,Working,Secondary / secondary special,Single / not married,1,1,0,1,0,0,1.0,,0.3227382869704046,,-1106.0,0,54.60821917808219,8.0,4.222222222222221,0.17996296296296296,0.04262280701754386
5,100008,0,Cash loans,M,N,Y,99000.0,490495.5,27517.5,454500.0,State servant,Secondary / secondary special,Married,1,1,1,1,1,0,2.0,,0.3542247319929012,0.6212263380626669,-2536.0,1,46.41369863013698,4.0,4.9545,0.27795454545454545,0.05610143212323049
6,100009,0,Cash loans,F,Y,Y,171000.0,1560726.0,41301.0,1395000.0,Commercial associate,Higher education,Married,1,1,0,1,1,0,3.0,0.7747614130547695,0.7239998516953141,0.4920600938649263,-1562.0,0,37.74794520547945,8.0,9.127052631578946,0.2415263157894737,0.0264626846736711
7,100010,0,Cash loans,M,Y,Y,360000.0,1530000.0,42075.0,1530000.0,State servant,Higher education,Married,1,1,1,1,0,0,2.0,,0.7142792864482229,0.5406544504453575,-1070.0,1,51.64383561643836,1.0,4.25,0.116875,0.0275
8,100011,0,Cash loans,F,N,Y,112500.0,1019610.0,33826.5,913500.0,Pensioner,Secondary / secondary special,Married,1,0,0,1,0,0,2.0,0.5873340468730377,0.20574728800732814,0.7517237147741489,0.0,1,55.06575342465754,,9.0632,0.30068,0.03317592020478418
9,100012,0,Revolving loans,M,N,Y,135000.0,405000.0,20250.0,405000.0,Working,Secondary / secondary special,Single / not married,1,1,0,1,0,0,1.0,,0.7466436294590924,,-1673.0,0,39.64109589041096,5.0,3.0,0.15,0.05
10,100014,0,Cash loans,F,N,Y,112500.0,652500.0,21177.0,652500.0,Working,Higher education,Married,1,1,0,1,0,0,3.0,0.3197601716755032,0.6518623334244781,0.363945238612397,-844.0,1,27.936986301369863,1.0,5.8,0.18824000000000002,0.0324551724137931
11,100015,0,Cash loans,F,N,Y,38419.155,148365.0,10678.5,135000.0,Pensioner,Secondary / secondary special,Married,1,0,0,1,1,0,2.0,0.7220444501416448,0.5551831615131809,0.6528965519806539,-2396.0,0,55.936986301369856,,3.8617455277191812,0.2779472895746926,0.07197452229299363
12,100016,0,Cash loans,F,N,Y,67500.0,80865.0,5881.5,67500.0,Working,Secondary / secondary special,Married,1,1,1,1,1,0,2.0,0.4648311169632833,0.7150418188660659,0.1766525794312139,-2370.0,1,36.81917808219178,7.0,1.198,0.08713333333333333,0.07273233166388425
13,100017,0,Cash loans,M,Y,N,225000.0,918468.0,28966.5,697500.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,3.0,,0.5669066132460429,0.7700870700124128,-4.0,1,38.59178082191781,8.0,4.08208,0.12874000000000002,0.03153784345235762
14,100018,0,Cash loans,F,N,Y,189000.0,773680.5,32778.0,679500.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,2.0,0.7219397686622343,0.6426562048311103,,-188.0,1,39.95342465753425,0.0,4.0935476190476185,0.17342857142857146,0.04236632563441886
15,100019,0,Cash loans,M,Y,Y,157500.0,299772.0,20160.0,247500.0,Working,Secondary / secondary special,Single / not married,1,1,0,1,0,0,1.0,0.11563433726229973,0.34663398139668,0.6785676886853644,-925.0,0,23.912328767123288,3.0,1.9033142857142855,0.128,0.06725111084424162
16,100020,0,Cash loans,M,N,N,108000.0,509602.5,26149.5,387000.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,2.0,,0.2363778398884225,0.06210303783729682,-3.0,1,35.42739726027396,3.0,4.718541666666667,0.242125,0.05131352377588415
17,100021,0,Revolving loans,F,N,Y,81000.0,270000.0,13500.0,270000.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,3.0,,0.6835133461914255,,-2811.0,0,26.78356164383561,0.0,3.333333333333333,0.16666666666666666,0.05
18,100022,0,Revolving loans,F,N,Y,112500.0,157500.0,7875.0,157500.0,Working,Secondary / secondary special,Widow,1,1,0,1,1,0,1.0,,0.7064284028871654,0.5567274263630174,-239.0,1,48.54246575342465,21.0,1.4,0.07,0.05
19,100023,0,Cash loans,F,N,Y,90000.0,544491.0,17563.5,454500.0,State servant,Higher education,Single / not married,1,1,1,1,1,0,2.0,,0.5866171400119664,0.4776491548517548,-1850.0,1,31.09041095890411,5.0,6.0499,0.19515,0.032256731516223415
20,100024,0,Revolving loans,M,Y,Y,135000.0,427500.0,21375.0,427500.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,2.0,0.5656548824667073,0.11337451271992707,,-296.0,0,50.005479452054786,11.0,3.1666666666666665,0.15833333333333333,0.05
21,100025,0,Cash loans,F,Y,Y,202500.0,1132573.5,37561.5,927000.0,Commercial associate,Secondary / secondary special,Married,1,1,0,1,0,0,3.0,0.43770901984754174,0.2337669575081463,0.5424451438613613,0.0,1,40.58904109589041,4.0,5.592955555555554,0.1854888888888889,0.03316473500395339
22,100026,0,Cash loans,F,N,N,450000.0,497520.0,32521.5,450000.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,3.0,,0.457142971588935,0.35895122857839673,-468.0,1,30.536986301369858,11.0,1.1056,0.07227,0.06536722141823444
23,100027,0,Cash loans,F,N,Y,83250.0,239850.0,23850.0,225000.0,Pensioner,Secondary / secondary special,Married,1,0,0,1,1,0,2.0,,0.6243047373592765,0.6690566947824041,-795.0,0,68.01917808219179,,2.881081081081081,0.2864864864864865,0.09943714821763602
24,100029,0,Cash loans,M,Y,N,135000.0,247500.0,12703.5,247500.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,4.0,,0.7861793090532118,0.5656079814115492,-4.0,1,30.920547945205477,2.0,1.8333333333333333,0.0941,0.05132727272727273
25,100030,0,Cash loans,F,N,Y,90000.0,225000.0,11074.5,225000.0,Working,Secondary / secondary special,Married,1,1,0,1,1,0,2.0,0.5619484093041138,0.6514056365297631,0.4614823912998385,0.0,1,52.969863013698635,9.0,2.5,0.12305,0.04922
26,100031,1,Cash loans,F,N,Y,112500.0,979992.0,27076.5,702000.0,Working,Secondary / secondary special,Widow,1,1,0,1,0,0,1.0,,0.5484771599678789,0.190705947811054,-161.0,1,51.2986301369863,7.0,8.711039999999999,0.24068,0.02762930717801778
27,100032,0,Cash loans,M,N,Y,112500.0,327024.0,23827.5,270000.0,Working,Secondary / secondary special,Married,1,1,0,1,0,0,3.0,,0.5411237022695412,0.6594055320683344,-2.0,1,43.69315068493151,3.0,2.90688,0.2118,0.0728616248348745
28,100033,0,Cash loans,M,Y,Y,270000.0,790830.0,57676.5,675000.0,State servant,Higher education,Single / not married,1,1,0,1,0,1,1.0,0.6003959050009468,0.6850109901296888,0.524496446363472,-849.0,0,27.38082191780822,4.0,2.929,0.21361666666666668,0.0729316035051781
29,100034,0,Revolving loans,M,N,Y,90000.0,180000.0,9000.0,180000.0,Working,Higher education,Single / not married,1,1,0,1,0,0,1.0,0.2979135090150507,0.5027790378786304,,-599.0,0,28.331506849315073,2.0,2.0,0.1,0.05
30,100035,0,Cash loans,F,N,Y,292500.0,665892.0,24592.5,477000.0,Commercial associate,Secondary / secondary special,Civil marriage,1,1,0,1,0,1,2.0,,0.479987342189869,0.4101025731788671,-1634.0,1,41.863013698630134,7.0,2.2765538461538464,0.08407692307692308,0.036931664594258534
31,100036,0,Cash loans,F,N,Y,112500.0,512064.0,25033.5,360000.0,Working,Secondary / secondary special,Civil marriage,1,1,0,1,0,0,2.0,0.2744223724911185,0.6273004007953609,,-397.0,1,30.531506849315072,3.0,4.55168,0.22252,0.04888744375703037
32,100037,0,Cash loans,F,N,N,90000.0,199008.0,20893.5,180000.0,Working,Secondary / secondary special,Civil marriage,1,1,1,1,0,0,2.0,,0.5594667916353414,0.7981372313187245,-2766.0,1,35.545205479452065,12.0,2.2112,0.23215,0.10498824167872647
33,100039,0,Cash loans,M,Y,N,360000.0,733315.5,39069.0,679500.0,Commercial associate,Secondary / secondary special,Married,1,1,0,1,0,0,3.0,,0.32174489566177183,0.41184855592423975,-697.0,0,32.03835616438357,5.0,2.0369875,0.108525,0.053277204695659636
34,100040,0,Cash loans,F,N,Y,135000.0,1125000.0,32895.0,1125000.0,State servant,Higher education,Married,1,1,0,1,0,0,2.0,,0.17249750814777715,,-3019.0,1,43.82739726027398,12.0,8.333333333333334,0.2436666666666667,0.02924
35,100041,0,Cash loans,F,N,N,112500.0,450000.0,44509.5,450000.0,Working,Higher education,Married,1,1,1,1,1,0,2.0,,0.6631580756296298,0.6785676886853644,-1285.0,1,33.30958904109589,3.0,4.0,0.39564,0.09891
36,100043,0,Cash loans,F,N,Y,198000.0,641173.5,23157.0,553500.0,Commercial associate,Secondary / secondary special,Married,1,1,1,1,1,0,4.0,0.8427634659543568,0.6816988025574287,0.7544061731797895,-2411.0,1,47.12054794520548,2.0,3.23825,0.11695454545454545,0.036116589347501116
